Frame,Timestamp,Detection_ID,X1,Y1,X2,Y2,Width,Height,Center_X,Center_Y,Confidence,Class,Area
1,0.100,0,253,219,282,308,29,89,267.5,263.5,0.832,unknown,2581
1,0.100,1,641,240,684,322,43,82,662.5,281.0,0.821,unknown,3526
1,0.100,2,499,157,529,233,30,76,514.0,195.0,0.743,unknown,2280
6,0.600,0,591,241,645,324,54,83,618.0,282.5,0.883,unknown,4482
6,0.600,1,282,212,321,302,39,90,301.5,257.0,0.826,unknown,3510
6,0.600,2,486,161,515,240,29,79,500.5,200.5,0.773,unknown,2291
11,1.100,0,315,207,355,293,40,86,335.0,250.0,0.842,unknown,3440
11,1.100,1,464,168,502,246,38,78,483.0,207.0,0.764,unknown,2964
11,1.100,2,549,236,584,324,35,88,566.5,280.0,0.757,unknown,3080
11,1.100,3,746,303,767,408,21,105,756.5,355.5,0.711,unknown,2205
16,1.600,0,719,287,761,395,42,108,740.0,341.0,0.871,unknown,4536
16,1.600,1,339,199,376,286,37,87,357.5,242.5,0.837,unknown,3219
16,1.600,2,499,235,525,322,26,87,512.0,278.5,0.796,unknown,2262
16,1.600,3,440,171,477,249,37,78,458.5,210.0,0.778,unknown,2886
21,2.100,0,686,271,722,377,36,106,704.0,324.0,0.849,unknown,3816
21,2.100,1,726,270,757,369,31,99,741.5,319.5,0.814,unknown,3069
21,2.100,2,438,231,480,316,42,85,459.0,273.5,0.795,unknown,3570
21,2.100,3,363,192,396,276,33,84,379.5,234.0,0.761,unknown,2772
26,2.600,0,691,257,730,357,39,100,710.5,307.0,0.850,unknown,3900
26,2.600,1,661,259,692,362,31,103,676.5,310.5,0.769,unknown,3193
26,2.600,2,372,187,398,271,26,84,385.0,229.0,0.737,unknown,2184
31,3.100,0,628,252,665,353,37,101,646.5,302.5,0.855,unknown,3737
31,3.100,1,666,249,697,344,31,95,681.5,296.5,0.807,unknown,2945
31,3.100,2,378,179,408,265,30,86,393.0,222.0,0.804,unknown,2580
36,3.600,0,603,241,640,341,37,100,621.5,291.0,0.860,unknown,3700
36,3.600,1,635,242,668,336,33,94,651.5,289.0,0.817,unknown,3102
36,3.600,2,378,179,398,259,20,80,388.0,219.0,0.658,unknown,1600
36,3.600,3,391,182,415,265,24,83,403.0,223.5,0.503,unknown,1992
41,4.100,0,567,235,604,331,37,96,585.5,283.0,0.814,unknown,3552
41,4.100,1,736,283,767,394,31,111,751.5,338.5,0.808,unknown,3441
41,4.100,2,601,233,635,325,34,92,618.0,279.0,0.780,unknown,3128
41,4.100,3,376,178,401,256,25,78,388.5,217.0,0.715,unknown,1950
41,4.100,4,395,184,419,261,24,77,407.0,222.5,0.670,unknown,1848
41,4.100,5,438,187,459,267,21,80,448.5,227.0,0.660,unknown,1680
46,4.600,0,575,224,614,314,39,90,594.5,269.0,0.842,unknown,3510
46,4.600,1,706,270,748,387,42,117,727.0,328.5,0.834,unknown,4914
46,4.600,2,442,182,473,257,31,75,457.5,219.5,0.815,unknown,2325
46,4.600,3,536,227,577,319,41,92,556.5,273.0,0.815,unknown,3772
46,4.600,4,378,177,405,256,27,79,391.5,216.5,0.812,unknown,2133
51,5.100,0,668,257,714,371,46,114,691.0,314.0,0.847,unknown,5244
51,5.100,1,554,215,586,301,32,86,570.0,258.0,0.827,unknown,2752
51,5.100,2,504,216,540,307,36,91,522.0,261.5,0.805,unknown,3276
51,5.100,3,372,179,401,258,29,79,386.5,218.5,0.778,unknown,2291
51,5.100,4,430,174,458,246,28,72,444.0,210.0,0.670,unknown,2016
56,5.600,0,639,246,681,359,42,113,660.0,302.5,0.854,unknown,4746
56,5.600,1,484,209,522,299,38,90,503.0,254.0,0.844,unknown,3420
56,5.600,2,529,207,560,294,31,87,544.5,250.5,0.818,unknown,2697
56,5.600,3,375,179,398,256,23,77,386.5,217.5,0.746,unknown,1771
61,6.100,0,466,201,500,290,34,89,483.0,245.5,0.854,unknown,3026
61,6.100,1,615,232,651,341,36,109,633.0,286.5,0.840,unknown,3924
61,6.100,2,503,201,532,283,29,82,517.5,242.0,0.794,unknown,2378
61,6.100,3,365,169,383,236,18,67,374.0,202.5,0.661,unknown,1206
61,6.100,4,378,180,397,260,19,80,387.5,220.0,0.617,unknown,1520
66,6.600,0,602,221,634,327,32,106,618.0,274.0,0.860,unknown,3392
66,6.600,1,454,196,488,280,34,84,471.0,238.0,0.826,unknown,2856
66,6.600,2,492,195,518,274,26,79,505.0,234.5,0.817,unknown,2054
66,6.600,3,370,180,400,259,30,79,385.0,219.5,0.739,unknown,2370
66,6.600,4,327,168,352,237,25,69,339.5,202.5,0.704,unknown,1725
71,7.100,0,586,208,621,309,35,101,603.5,258.5,0.874,unknown,3535
71,7.100,1,444,189,475,276,31,87,459.5,232.5,0.792,unknown,2697
71,7.100,2,368,179,400,259,32,80,384.0,219.0,0.775,unknown,2560
71,7.100,3,478,188,507,270,29,82,492.5,229.0,0.775,unknown,2378
71,7.100,4,290,170,327,235,37,65,308.5,202.5,0.758,unknown,2405
76,7.600,0,576,197,607,295,31,98,591.5,246.0,0.831,unknown,3038
76,7.600,1,263,169,290,236,27,67,276.5,202.5,0.808,unknown,1809
76,7.600,2,440,181,470,262,30,81,455.0,221.5,0.801,unknown,2430
76,7.600,3,478,181,506,258,28,77,492.0,219.5,0.781,unknown,2156
76,7.600,4,369,179,400,259,31,80,384.5,219.0,0.743,unknown,2480
81,8.100,0,567,187,600,283,33,96,583.5,235.0,0.845,unknown,3168
81,8.100,1,441,171,474,254,33,83,457.5,212.5,0.810,unknown,2739
